type_generateur;mode_combustion;energie_generateur;annee_installation_generateur/gte;annee_installation_generateur/lte;pn/gt;pn/lte;pn_max;rpn;rpint;qp0;pveilleuse
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;;bois_buche|bois_plaquette;;1977;;70;;47 + 6 * logPn;48 + 6 * logPn;0.08 * Pn * (Pn ^ -0.27);0
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;;bois_buche|bois_plaquette;;1977;70;400;70;58;59;1.8;0
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;;bois_buche|bois_plaquette;;1977;400;;70;58;59;1.1;0
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;;bois_buche|bois_plaquette;1978;1994;;70;;47 + 6 * logPn;48 + 6 * logPn;0.07 * Pn * (Pn ^ -0.3);0
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;;bois_buche|bois_plaquette;1978;1994;70;400;70;58;59;1.4;0
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;;bois_buche|bois_plaquette;1978;1994;400;;70;58;59;0.8;0
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;;bois_buche|bois_plaquette;1995;2003;;70;;47 + 6 * logPn;48 + 6 * logPn;0.085 * Pn * (Pn ^ -0.4);0
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;;bois_buche|bois_plaquette;1995;2003;70;400;70;58;59;1.1;0
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;;bois_buche|bois_plaquette;1995;2003;400;;70;58;59;0.5;0
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;;bois_buche|bois_plaquette;2004;2012;;70;;57 + 6 * logPn;58 + 6 * logPn;0.085 * Pn * (Pn ^ -0.4);0
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;;bois_buche|bois_plaquette;2004;2012;70;400;70;68;69;1.1;0
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;;bois_buche|bois_plaquette;2004;2012;400;;70;68;69;0.5;0
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;;bois_buche|bois_plaquette;2013;2017;;70;;67 + 6 * logPn;68 + 6 * logPn;0.085 * Pn * (Pn ^ -0.4);0
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;;bois_buche|bois_plaquette;2013;2017;70;400;70;78;79;1.1;0
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;;bois_buche|bois_plaquette;2013;2017;400;;70;78;79;0.5;0
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;;bois_buche|bois_plaquette;2018;2019;;70;;80 + 2 * logPn;77 + 3 * logPn;0.085 * Pn * (Pn ^ -0.4);0
