type_generateur;mode_combustion;energie_generateur;volume_stockage/gt;volume_stockage/eq;annee_installation_generateur/lte;annee_installation_generateur/gte;pn/lte;pn/gt;pn_max;rpn;qp0;pveilleuse
chauffe_eau;basse_temperature;gaz_naturel|gpl;0;;1989;;;;;81;1.5 / 100 * Pn;200
chauffe_eau;basse_temperature;gaz_naturel|gpl;0;;2000;1990;;;;84;1.5 / 100 * Pn;150
chauffe_eau;basse_temperature;gaz_naturel|gpl;0;;;2001;;;;84;1.5 / 100 * Pn;150
chauffe_eau;condensation;gaz_naturel|gpl;0;;2000;;;;;98;1.5 / 100 * Pn;0
chauffe_eau;condensation;gaz_naturel|gpl;0;;;2001;;;;98;1.5 / 100 * Pn;0
chauffe_eau;standard;gaz_naturel|gpl;0;;1989;;;;;81;1.5 / 100 * Pn;200
chauffe_eau;standard;gaz_naturel|gpl;0;;2000;1990;;;;84;1.5 / 100 * Pn;150
chauffe_eau;standard;gaz_naturel|gpl;0;;;2001;;;;84;1.5 / 100 * Pn;150
chauffe_eau;;gaz_naturel|gpl;;0;1980;;10;;;70;4.0 / 100 * Pn;150
chauffe_eau;;gaz_naturel|gpl;;0;1980;;;10;;70;4.0 / 100 * Pn;150
chauffe_eau;;gaz_naturel|gpl;;0;1989;1981;10;;;75;2.0 / 100 * Pn;120
chauffe_eau;;gaz_naturel|gpl;;0;1989;1981;;10;;75;2.0 / 100 * Pn;120
chauffe_eau;;gaz_naturel|gpl;;0;2000;1990;10;;;81;1.0 / 100 * Pn;120
chauffe_eau;;gaz_naturel|gpl;;0;2000;1990;;10;;82;1.0 / 100 * Pn;120
chauffe_eau;;gaz_naturel|gpl;;0;2015;2001;10;;;82;1.0 / 100 * Pn;100
chauffe_eau;;gaz_naturel|gpl;;0;2015;2001;;10;;84;1.0 / 100 * Pn;100
chauffe_eau;;gaz_naturel|gpl;;0;;2015;10;;;82;1.0 / 100 * Pn;0
chauffe_eau;;gaz_naturel|gpl;;0;;2015;;10;;84;1.0 / 100 * Pn;0
