zone_climatique;orientation;isolation_paroi;bver;tv_coef_reduction_deperdition_id
H1;sud;1;0.58;269
H1;sud;0;0.55;270
H1;nord;1;0.95;265
H1;nord;0;0.85;266
H1;est;1;0.63;267
H1;est;0;0.6;268
H1;ouest;1;0.63;267
H1;ouest;0;0.6;268
H2;sud;1;0.57;275
H2;sud;0;0.55;276
H2;nord;1;0.95;271
H2;nord;0;0.85;272
H2;est;1;0.6;273
H2;est;0;0.58;274
H2;ouest;1;0.6;273
H2;ouest;0;0.58;274
H3;sud;1;0.48;281
H3;sud;0;0.55;282
H3;nord;1;0.95;277
H3;nord;0;0.85;278
H3;est;1;0.53;279
H3;est;0;0.53;280
H3;ouest;1;0.53;279
H3;ouest;0;0.53;280
