configuration;zone_climatique;annee_construction_isolation/gte;annee_construction_isolation/lte;effet_joule;u;tv_uph_id
plancher;H1;;1974;1;2.5;1
plancher;H1;;1974;0;2.5;2
plancher;H2;;1974;1;2.5;3
plancher;H2;;1974;0;2.5;4
plancher;H3;;1974;1;2.5;5
plancher;H3;;1974;0;2.5;6
plancher;H1;1975;1977;1;0.5;7
plancher;H1;1975;1977;0;0.5;8
plancher;H2;1975;1977;1;0.53;9
plancher;H2;1975;1977;0;0.53;10
plancher;H3;1975;1977;1;0.56;11
plancher;H3;1975;1977;0;0.56;12
plancher;H1;1978;1982;1;0.4;13
plancher;H1;1978;1982;0;0.5;14
plancher;H2;1978;1982;1;0.42;15
plancher;H2;1978;1982;0;0.53;16
plancher;H3;1978;1982;1;0.44;17
plancher;H3;1978;1982;0;0.56;18
plancher;H1;1983;1988;1;0.3;19
plancher;H1;1983;1988;0;0.3;20
plancher;H2;1983;1988;1;0.32;21
plancher;H2;1983;1988;0;0.32;22
plancher;H3;1983;1988;1;0.33;23
plancher;H3;1983;1988;0;0.33;24
plancher;H1;1989;2000;1;0.25;25
plancher;H1;1989;2000;0;0.25;26
plancher;H2;1989;2000;1;0.26;27
plancher;H2;1989;2000;0;0.26;28
plancher;H3;1989;2000;1;0.3;29
plancher;H3;1989;2000;0;0.3;30
plancher;H1;2001;2005;1;0.23;31
plancher;H1;2001;2005;0;0.23;32
plancher;H2;2001;2005;1;0.23;33
plancher;H2;2001;2005;0;0.23;34
plancher;H3;2001;2005;1;0.3;35
plancher;H3;2001;2005;0;0.3;36
plancher;H1;2006;2012;1;0.2;37
plancher;H1;2006;2012;0;0.2;38
plancher;H2;2006;2012;1;0.2;39
plancher;H2;2006;2012;0;0.2;40
plancher;H3;2006;2012;1;0.25;41
plancher;H3;2006;2012;0;0.25;42
plancher;H1;2013;;1;0.14;43
plancher;H1;2013;;0;0.14;44
plancher;H2;2013;;1;0.14;45
plancher;H2;2013;;0;0.14;46
plancher;H3;2013;;1;0.14;47
plancher;H3;2013;;0;0.14;48
rampants;H1;;1974;1;2.5;1
rampants;H1;;1974;0;2.5;2
rampants;H2;;1974;1;2.5;3
rampants;H2;;1974;0;2.5;4
rampants;H3;;1974;1;2.5;5
rampants;H3;;1974;0;2.5;6
rampants;H1;1975;1977;1;0.5;7
rampants;H1;1975;1977;0;0.5;8
rampants;H2;1975;1977;1;0.53;9
rampants;H2;1975;1977;0;0.53;10
rampants;H3;1975;1977;1;0.56;11
rampants;H3;1975;1977;0;0.56;12
rampants;H1;1978;1982;1;0.4;13
rampants;H1;1978;1982;0;0.5;14
rampants;H2;1978;1982;1;0.42;15
rampants;H2;1978;1982;0;0.53;16
rampants;H3;1978;1982;1;0.44;17
rampants;H3;1978;1982;0;0.56;18
rampants;H1;1983;1988;1;0.3;19
rampants;H1;1983;1988;0;0.3;20
rampants;H2;1983;1988;1;0.32;21
rampants;H2;1983;1988;0;0.32;22
rampants;H3;1983;1988;1;0.33;23
rampants;H3;1983;1988;0;0.33;24
rampants;H1;1989;2000;1;0.25;25
rampants;H1;1989;2000;0;0.25;26
rampants;H2;1989;2000;1;0.26;27
rampants;H2;1989;2000;0;0.26;28
rampants;H3;1989;2000;1;0.3;29
rampants;H3;1989;2000;0;0.3;30
rampants;H1;2001;2005;1;0.23;31
rampants;H1;2001;2005;0;0.23;32
rampants;H2;2001;2005;1;0.23;33
rampants;H2;2001;2005;0;0.23;34
rampants;H3;2001;2005;1;0.3;35
rampants;H3;2001;2005;0;0.3;36
rampants;H1;2006;2012;1;0.2;37
rampants;H1;2006;2012;0;0.2;38
