presence_sas;isolation;materiau;type_vitrage;taux_vitrage/gt;taux_vitrage/lt;taux_vitrage/gte;taux_vitrage/lte;u
1;;;;;;;;1.5
0;0;pvc;;;;;;3.5
0;0;bois;;;;;;3.5
0;0;bois_metal;;;;;;3.5
0;0;metal;;;;;;5.8
0;0;pvc;simple_vitrage;0;30;;;4
0;0;bois;simple_vitrage;0;30;;;4
0;0;bois_metal;simple_vitrage;0;30;;;4
0;0;metal;simple_vitrage;0;30;;;5.8
0;0;pvc;simple_vitrage;;;30;60;4.5
0;0;bois;simple_vitrage;;;30;60;4.5
0;0;bois_metal;simple_vitrage;;;30;60;4.5
0;0;metal;simple_vitrage;;;30;60;5.8
0;0;pvc;double_vitrage;0;30;;;3.3
0;0;bois;double_vitrage;0;30;;;3.3
0;0;bois_metal;double_vitrage;0;30;;;3.3
0;0;metal;double_vitrage;0;30;;;5.5
0;0;pvc;double_vitrage;;;30;60;3.3
0;0;bois;double_vitrage;;;30;60;3.3
0;0;bois_metal;double_vitrage;;;30;60;3.3
0;0;metal;double_vitrage;;;30;60;4.8
0;0;pvc;triple_vitrage;;30;;;3.3
0;0;bois;triple_vitrage;;30;;;3.3
0;0;bois_metal;triple_vitrage;;30;;;3.3
0;0;metal;triple_vitrage;;30;;;5.5
0;0;pvc;triple_vitrage;;;30;60;3.3
0;0;bois;triple_vitrage;;;30;60;3.3
0;0;bois_metal;triple_vitrage;;;30;60;3.3
0;0;metal;triple_vitrage;;;30;60;4.8
0;1;;;;;;;1.5
0;1;pvc;simple_vitrage;0;30;;;4
0;1;bois;simple_vitrage;0;30;;;4
0;1;bois_metal;simple_vitrage;0;30;;;4
0;1;metal;simple_vitrage;0;30;;;5.8
0;1;pvc;simple_vitrage;;;30;60;4.5
0;1;bois;simple_vitrage;;;30;60;4.5
0;1;bois_metal;simple_vitrage;;;30;60;4.5
0;1;metal;simple_vitrage;;;30;60;5.8
0;1;;double_vitrage;;;;;1.5
0;1;;triple_vitrage;;;;;1.5
