id;contenu_co2;contenu_co2_acv;taux_enr
0106C;0.014;0.037;0.95
0108C;0.057;0.081;0.775
0110C;0.118;0.171;0.392
0109C;0.157;0.198;0.418
0103C;0.026;0.049;0.896
0102C;0.057;0.089;0.858
0111C;0.081;0.123;0.836
0105C;0.02;0.045;0.933
0107C;0.001;0.021;0.998
0205C;0.008;0.029;0.974
0201C;0.056;0.093;0.667
0204C;0.049;0.078;0.844
0306C;0;0.019;1
0303C;0;0.022;1
0307C;0.036;0.06;0.867
0310C;0.018;0.039;0.926
0308C;0.022;0.049;0.93
0305C;0.023;0.053;0.973
0304C;0;0.064;1
0302C;0.093;0.124;0.586
0301C;0.051;0.083;0.733
0309C;0.056;0.096;0.733
0404C;0.007;0.03;0.972
0406C;0.105;0.146;0.725
0402C;0.014;0.037;0.941
0403C;0;0.022;1
0401C;0.053;0.077;0.783
0506C;0.009;0.032;0.971
0501C;0.017;0.042;0.953
0502C;0.004;0.024;0.988
0507C;0.006;0.031;0.984
0508C;0;0.022;1
0504C;0.067;0.087;0.679
0505C;0.243;0.27;0.303
0603C;0.068;0.092;0.705
0605C;0.122;0.223;0.895
0602C;0.226;0.254;0
0606C;0.171;0.121;0
0609C;0.003;0.008;0.989
0608C;0.064;0.032;0.663
0701C;0.032;0.056;0.891
0704C;0;0.017;1
0705C;0;0.031;1
0706C;0;0.022;1
0702C;0.022;0.046;0.949
0707C;0;0.028;1
0703C;0;0.02;1
0802C;0.12;0.166;0.425
0806C;0.082;0.105;0.686
0805C;0;0.025;1
0801C;0;0.018;1
0809C;0;0.046;1
0804C;0.108;0.15;0.754
0813C;0;0.022;1
0810C;0;0.033;1
0817C;0.004;0.025;0.985
0808C;0.079;0.109;0.765
0812C;0;0.017;1
0803C;0.115;0.157;0.567
0814C;0;0.027;1
0811C;0;0.029;1
1001C;0.183;0.203;0
1003C;0.12;0.16;0.668
1002C;0.086;0.109;0.632
1103C;0;0.018;1
1101C;0.155;0.193;0.612
1206C;0.009;0.033;0.971
1201C;0.062;0.088;0.758
1204C;0.083;0.11;0.703
1203C;0.055;0.081;0.823
1207C;0.026;0.049;0.912
1317C;0.063;0.086;0.736
1320C;0.06;0.086;0.79
1321C;0.063;0.032;0.718
1318C;0.107;0.133;0.55
1302C;0.169;0.219;0
1306C;0.252;0.283;0
1319C;0.05;0.026;0.77
1322C;0.187;0.086;0.868
1310C;0.277;0.307;0
1311C;0.065;0.095;0.71
1303C;0.252;0.283;0
1315C;0.272;0.328;0
1411C;0.058;0.081;0.747
1409C;0.022;0.046;0.93
1405C;0.051;0.075;0.792
1406C;0.055;0.078;0.786
1412C;0.089;0.118;0.713
1413C;0.079;0.104;0.679
1403C;0.13;0.161;0.506
1401C;0.02;0.026;0.92
1402C;0.079;0.104;0.668
1410C;0.048;0.073;0.85
1506C;0;0.022;1
1511C;0.031;0.053;0.881
1501C;0.007;0.032;0.969
1507C;0.004;0.028;0.987
1504C;0.005;0.03;0.985
1512C;0.002;0.022;0.995
1503C;0.003;0.025;0.991
1502C;0.002;0.034;0.996
1505C;0;0.022;1
1608C;0.127;0.153;0.458
1611C;0.181;0.208;0.226
1604C;0;0.02;1
1610C;0.028;0.051;0.891
1613C;0;0.022;1
1606C;0;0.024;1
1601C;0;0.049;1
1609C;0.012;0.05;0.978
1605C;0.193;0.223;0
1612C;0.093;0.117;0.616
1703C;0.041;0.065;0.855
1707C;0.035;0.059;0.875
1702C;0.03;0.062;0.941
1701C;0.049;0.083;0.725
1704C;0.019;0.025;0.932
1705C;0.061;0.09;0.794
1706C;0.007;0.026;0.971
1801C;0.016;0.037;0.935
1803C;0.191;0.193;0
1907C;0.028;0.034;0.894
1902C;0.005;0.016;0.984
1906C;0.319;0.365;0
1909C;0.117;0.144;0.523
1908C;0;0.004;1
1901C;0;0.004;1
1904C;0;0.022;1
1903C;0.061;0.094;0.856
2001C;0.001;0.025;0.999
2107C;0.125;0.166;0.658
2102C;0.077;0.101;0.646
2105C;0.072;0.108;0.554
2106C;0.043;0.061;0.805
2108C;0;0.019;1
2205C;0.011;0.044;0.968
2214C;0;0.019;1
2210C;0.062;0.088;0.792
2212C;0.041;0.064;0.829
2207C;0.026;0.069;0.959
2217C;0.078;0.197;0.949
2218C;0.013;0.066;0.986
2209C;0;0.021;1
2206C;0.05;0.091;0.872
2213C;0.001;0.022;0.998
2202C;0;0.029;1
2203C;0;0.022;1
2208C;0.09;0.116;0.654
2211C;0;0.023;1
2204C;0;0.004;1
2301C;0.018;0.043;0.947
2302C;0.038;0.065;0.869
2304C;0;0.037;1
2305C;0.043;0.065;0.82
2406C;0.033;0.057;0.88
2404C;0;0.019;1
2403C;0.024;0.053;0.933
2402C;0.041;0.085;0.816
2407C;0.05;0.073;0.799
2401C;0.141;0.169;0.49
2516C;0.033;0.064;0.91
2505C;0;0.269;0
2501C;0.068;0.086;0.736
2506C;0.041;0.067;0.858
2503C;0.091;0.119;0.689
2514C;0;0.023;1
2515C;0;0.02;1
2504C;0.049;0.083;0.873
2502C;0.076;0.088;0.679
2510C;0.271;0.304;0
2507C;0;0.019;1
2509C;0;0.021;1
2512C;0;0.022;1
2518C;0.015;0.02;0.942
2511C;0.019;0.025;0.936
2513C;0;0.027;1
2604C;0.216;0.257;0
2603C;0;0.117;0.696
2605C;0.164;0.211;0
2601C;0.132;0.163;0.483
2602C;0.068;0.11;0.855
2709C;0.144;0.324;0
2707C;0;0.022;1
2706C;0.009;0.034;0.972
2701C;0.08;0.092;0.656
2704C;0.241;0.27;0
2702C;0.069;0.094;0.718
2703C;0.265;0.297;0
2705C;0.209;0.236;0
2807C;0;0.119;0.904
2803C;0.073;0.1;0.766
2802C;0.023;0.3;0
2806C;0.168;0.196;0.337
2901C;0.032;0.043;0.88
2903C;0;0.004;1
2906C;0;0.004;1
2908C;0.038;0.062;0.859
2907C;0.051;0.077;0.819
2902C;0.047;0.072;0.844
2905C;0;0.021;1
3002C;0.064;0.091;0.685
3003C;0;0.019;1
3001C;0.109;0.134;0.562
3108C;0.09;0.12;0.774
3102C;0.101;0.127;0.591
3115C;0;0.004;1
3103C;0.06;0.052;0.749
3111C;0.104;0.132;0.633
3113C;0.149;0.174;0.344
3101C;0.002;0.006;0.994
3104C;0.041;0.047;0.833
3106C;0.059;0.075;0.811
3107C;0.078;0.101;0.743
3112C;0.049;0.06;0.811
