type_generateur;type_vmc;generateur_collectif;annee_installation/gte;annee_installation/lte;ratio_utilisation;pvent_moy;pvent
puit_climatique;;;;;0;0;0
ventilation_mecanique;;;;;0;0;0
vmc_simple_flux;autoreglable;;;2012;1;65;0.46
vmc_simple_flux;autoreglable;;2012;;1;35;0.25
vmc_simple_flux;hygroreglable_type_a;;;2012;1;50;0.46
vmc_simple_flux;hygroreglable_type_a;;2012;;1;15;0.25
vmc_simple_flux;hygroreglable_type_b;;;2012;1;50;0.46
vmc_simple_flux;hygroreglable_type_b;;2012;;1;15;0.25
vmc_simple_flux_gaz;autoreglable;;;2012;1;65;0.46
vmc_simple_flux_gaz;autoreglable;;2012;;1;35;0.25
vmc_simple_flux_gaz;hygroreglable_type_a;;;2012;1;50;0.46
vmc_simple_flux_gaz;hygroreglable_type_a;;2012;;1;15;0.25
vmc_simple_flux_gaz;hygroreglable_type_b;;;2012;1;50;0.46
vmc_simple_flux_gaz;hygroreglable_type_b;;2012;;1;15;0.25
vmc_basse_pression;autoreglable;;;2012;1;65;0.46
vmc_basse_pression;autoreglable;;2012;;1;35;0.25
vmc_basse_pression;hygroreglable_type_a;;;2012;1;50;0.46
vmc_basse_pression;hygroreglable_type_a;;2012;;1;15;0.25
vmc_basse_pression;hygroreglable_type_b;;;2012;1;50;0.46
vmc_basse_pression;hygroreglable_type_b;;2012;;1;15;0.25
vmi;;;;2012;1;65;0.46
vmi;;;2012;;1;35;0.25
vmr;;;;2012;1;65;0.46
vmr;;;2012;;1;35;0.25
vmc_double_flux;;;;2012;1;80;1.1
vmc_double_flux;;;2012;;1;35;0.6
ventilation_hybride;;1;;;0.167;65;0.46
ventilation_hybride;;0;;;0.083;65;0.46
